List of all supported languages
Language	Voice type	Language code	Voice name	SSML Gender	Sample
Basque (Spain)	Standard	eu-ES	eu-ES-Standard-B	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Achernar	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Achird	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Algenib	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Algieba	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Alnilam	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Aoede	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Autonoe	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Callirrhoe	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Charon	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Despina	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Enceladus	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Erinome	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Fenrir	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Gacrux	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Iapetus	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Kore	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Laomedeia	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Leda	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Orus	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Puck	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Pulcherrima	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Rasalgethi	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Sadachbia	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Sadaltager	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Schedar	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Sulafat	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Umbriel	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Vindemiatrix	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Zephyr	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Zubenelgenubi	MALE	
Bengali (India)	Standard	bn-IN	bn-IN-Standard-A	FEMALE	
Bengali (India)	Standard	bn-IN	bn-IN-Standard-B	MALE	
Bengali (India)	Standard	bn-IN	bn-IN-Standard-C	FEMALE	
Bengali (India)	Standard	bn-IN	bn-IN-Standard-D	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-A	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-B	MALE	
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-C	FEMALE	
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-D	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Achernar	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Achird	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Algenib	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Algieba	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Alnilam	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Aoede	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Autonoe	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Callirrhoe	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Charon	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Despina	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Enceladus	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Erinome	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Fenrir	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Gacrux	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Iapetus	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Kore	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Laomedeia	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Leda	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Orus	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Puck	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Pulcherrima	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Rasalgethi	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Sadachbia	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Sadaltager	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Schedar	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Sulafat	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Umbriel	MALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Vindemiatrix	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Zephyr	FEMALE	
Bulgarian (Bulgaria)	Premium	bg-BG	bg-BG-Chirp3-HD-Zubenelgenubi	MALE	
Bulgarian (Bulgaria)	Standard	bg-BG	bg-BG-Standard-B	FEMALE	
Catalan (Spain)	Standard	ca-ES	ca-ES-Standard-B	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Achernar	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Achird	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Algenib	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Algieba	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Alnilam	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Aoede	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Autonoe	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Callirrhoe	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Charon	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Despina	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Enceladus	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Erinome	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Fenrir	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Gacrux	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Iapetus	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Kore	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Laomedeia	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Leda	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Orus	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Puck	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Pulcherrima	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Rasalgethi	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Sadachbia	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Sadaltager	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Schedar	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Sulafat	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Umbriel	MALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Vindemiatrix	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Zephyr	FEMALE	
Chinese (Hong Kong)	Premium	yue-HK	yue-HK-Chirp3-HD-Zubenelgenubi	MALE	
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-A	FEMALE	
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-B	MALE	
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-C	FEMALE	
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-D	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Achernar	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Achird	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Algenib	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Algieba	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Alnilam	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Aoede	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Autonoe	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Callirrhoe	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Charon	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Despina	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Enceladus	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Erinome	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Fenrir	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Gacrux	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Iapetus	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Kore	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Laomedeia	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Leda	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Orus	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Puck	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Pulcherrima	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Rasalgethi	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Sadachbia	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Sadaltager	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Schedar	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Sulafat	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Umbriel	MALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Vindemiatrix	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Zephyr	FEMALE	
Croatian (Croatia)	Premium	hr-HR	hr-HR-Chirp3-HD-Zubenelgenubi	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Achernar	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Achird	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Algenib	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Algieba	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Alnilam	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Aoede	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Autonoe	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Callirrhoe	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Charon	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Despina	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Enceladus	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Erinome	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Fenrir	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Gacrux	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Iapetus	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Kore	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Laomedeia	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Leda	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Orus	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Puck	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Pulcherrima	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Rasalgethi	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Sadachbia	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Sadaltager	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Schedar	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Sulafat	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Umbriel	MALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Vindemiatrix	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Zephyr	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Chirp3-HD-Zubenelgenubi	MALE	
Czech (Czech Republic)	Standard	cs-CZ	cs-CZ-Standard-B	FEMALE	
Czech (Czech Republic)	Premium	cs-CZ	cs-CZ-Wavenet-B	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Achernar	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Achird	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Algenib	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Algieba	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Alnilam	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Aoede	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Autonoe	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Callirrhoe	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Charon	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Despina	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Enceladus	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Erinome	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Fenrir	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Gacrux	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Iapetus	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Kore	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Laomedeia	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Leda	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Orus	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Puck	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Pulcherrima	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Rasalgethi	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Sadachbia	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Sadaltager	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Schedar	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Sulafat	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Umbriel	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Vindemiatrix	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Zephyr	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Chirp3-HD-Zubenelgenubi	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Neural2-F	FEMALE	
Danish (Denmark)	Standard	da-DK	da-DK-Standard-F	FEMALE	
Danish (Denmark)	Standard	da-DK	da-DK-Standard-G	MALE	
Danish (Denmark)	Premium	da-DK	da-DK-Wavenet-F	FEMALE	
Danish (Denmark)	Premium	da-DK	da-DK-Wavenet-G	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Achernar	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Achird	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Algenib	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Algieba	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Alnilam	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Aoede	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Autonoe	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Callirrhoe	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Charon	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Despina	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Enceladus	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Erinome	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Fenrir	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Gacrux	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Iapetus	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Kore	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Laomedeia	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Leda	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Orus	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Puck	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Pulcherrima	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Rasalgethi	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Sadachbia	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Sadaltager	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Schedar	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Sulafat	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Umbriel	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Vindemiatrix	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Zephyr	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Chirp3-HD-Zubenelgenubi	MALE	
Dutch (Belgium)	Standard	nl-BE	nl-BE-Standard-C	FEMALE	
Dutch (Belgium)	Standard	nl-BE	nl-BE-Standard-D	MALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Wavenet-C	FEMALE	
Dutch (Belgium)	Premium	nl-BE	nl-BE-Wavenet-D	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Achernar	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Achird	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Algenib	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Algieba	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Alnilam	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Aoede	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Autonoe	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Callirrhoe	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Charon	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Despina	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Enceladus	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Erinome	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Fenrir	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Gacrux	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Iapetus	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Kore	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Laomedeia	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Leda	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Orus	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Puck	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Pulcherrima	FEMALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Rasalgethi	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Sadachbia	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Sadaltager	MALE	
Dutch (Netherlands)	Premium	nl-NL	nl-NL-Chirp3-HD-Schedar	MALE	
